Reference, Quantity, Value, Footprint, Datasheet
C1 C2 C3 ,3,100n,w_capacitors:cnp_3mm_disc,
D1 D2 ,2,1N4148,Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal,
IC1 ,1,ATMEGA1284P-P,w_pth_circuits:dil_40-600_socket,
J1 ,1,ISP,w_conn_strip:vasch_strip_3x2,
J2 ,1,KEYS,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,
J3 ,1,EXT_5V,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,
J4 ,1,RESET CONN,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,
J5 ,1,PC7,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,
J6 ,1,LCD Display,w_conn_strip:vasch_strip_5x2,
P1 ,1,VIA_PIN_1-20,Pin_Headers:Pin_Header_Straight_1x20_Pitch2.54mm,
P2 ,1,VIA-6522,w_pth_circuits:dil_40-600_socket,
P3 ,1,VIA_PIN_21-40,Pin_Headers:Pin_Header_Straight_1x20_Pitch2.54mm,
R1 ,1,10k,Discret:R4-5,
R10 ,1,150,Discret:R4-5,
R2 ,1,47k,Discret:R4-5,
R3 ,1,47kR,Discret:R4-5,
R4 R5 R6 ,3,"3,3k",Discret:R4-5,
R7 R8 R9 ,3,"1,8k",Discret:R4-5,
RV1 ,1,10k,w_pth_resistors:trimmer_vishay_64w,
SD1 ,1,ATTEND_104H-TDA0-R01,ka_sd_sockets:ATTEND_104H-TDA0-R01,
SW1 ,1,RESET,Buttons_Switches_THT:SW_PUSH_6mm_h5mm,
X1 ,1,24Mhz,Oscillators:Oscillator_DIP-14_LargePads,
