Reference, Value, Footprint, Datasheet
"IC1","ATMEGA1284P-P","Housings_DIP:DIP-40_W15.24mm_LongPads","","",""
"X1","20Mhz","Oscillators:KXO-200_LargePads","","",""
"C3","100n","Capacitors_THT:C_Disc_D3_P2.5","","",""
"R1","10k","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","","",""
"C1","100n","Capacitors_THT:C_Disc_D3_P2.5","","",""
"C2","100n","Capacitors_THT:C_Disc_D3_P2.5","","",""
"SW1","SW_PUSH","Buttons_Switches_THT:SW_PUSH-12mm","","",""
"SW2","SW_PUSH","Buttons_Switches_THT:SW_PUSH-12mm","","",""
"SW3","SW_PUSH","Buttons_Switches_THT:SW_PUSH-12mm","","",""
"P1","ISP","","","",""
"CON1","SD_Card","Connect:SD_Card_Receptacle","","",""
"D1","1N4148","Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10","","",""
"D2","1N4148","Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10","","",""
"R2","1,8k","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","","",""
"R5","1,8k","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","","",""
"R3","1,8k","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","","",""
"R4","3,3k","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","","",""
"R6","3,3k","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","","",""
"R7","3,3k","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","","",""
"DS1","LCD16X2","Pin_Headers:Pin_Header_Straight_1x16","","",""
"RV1","10k","Potentiometers:Potentiometer_Bourns_3339P_Angular_ScrewUp","","",""
"R8","150","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","","",""
"P3","DIL40","Housings_DIP:DIP-40_W15.24mm_LongPads","","",""
"P4","VIA_PIN_21-40","Pin_Headers:Pin_Header_Straight_1x20","","",""
"P2","VIA_PIN_1-20","Pin_Headers:Pin_Header_Straight_1x20","","",""
